Run_ID,Base_SIR,Base_SINR,Base_PESQ_NB,Base_PESQ_WB,Base_STOI,Raw_SIR,Raw_SINR,Raw_PESQ_NB,Raw_PESQ_WB,Raw_STOI,Gauss_SIR,Gauss_SINR,Gauss_PESQ_NB,Gauss_PESQ_WB,Gauss_STOI,GAN_SIR,GAN_SINR,GAN_PESQ_NB,GAN_PESQ_WB,GAN_STOI
batch_test_5345,-0.06,-2.20,2.038,1.043,0.451,23.47,10.12,1.712,1.216,0.596,18.59,9.37,1.661,1.170,0.585,N/A,N/A,N/A,N/A,N/A
batch_test_5346,0.02,-2.12,1.615,1.047,0.550,21.30,8.67,2.162,1.393,0.683,15.94,7.94,1.995,1.338,0.665,N/A,N/A,N/A,N/A,N/A
batch_test_5347,-0.02,-2.16,1.264,1.023,0.704,19.79,8.64,1.893,1.225,0.818,17.78,8.16,1.874,1.198,0.809,N/A,N/A,N/A,N/A,N/A
batch_test_5348,-0.06,-2.17,1.324,1.050,0.775,36.52,13.11,2.192,1.550,0.870,36.21,12.92,2.144,1.566,0.871,N/A,N/A,N/A,N/A,N/A
batch_test_5349,0.02,-2.10,1.160,1.033,0.679,17.24,7.74,1.643,1.207,0.764,14.68,7.08,1.611,1.202,0.754,N/A,N/A,N/A,N/A,N/A
batch_test_5350,0.02,-2.09,1.288,1.062,0.644,19.58,8.88,1.931,1.542,0.784,16.17,8.21,1.919,1.554,0.778,N/A,N/A,N/A,N/A,N/A
batch_test_5351,0.01,-2.12,1.298,1.044,0.805,21.67,8.31,1.935,1.327,0.877,17.38,7.99,1.899,1.306,0.871,N/A,N/A,N/A,N/A,N/A
batch_test_5352,0.03,-2.11,1.193,1.026,0.528,23.20,5.58,1.831,1.256,0.634,18.87,5.56,1.840,1.242,0.635,N/A,N/A,N/A,N/A,N/A
batch_test_5353,0.04,-2.09,1.284,1.028,0.682,23.96,9.89,2.142,1.380,0.769,22.31,9.43,2.079,1.355,0.759,N/A,N/A,N/A,N/A,N/A
batch_test_5354,-0.01,-2.15,1.555,1.050,0.748,30.35,13.09,2.324,1.425,0.795,30.31,12.93,2.319,1.419,0.795,N/A,N/A,N/A,N/A,N/A
batch_test_5355,0.02,-2.12,1.213,1.015,0.635,21.60,10.13,1.762,1.159,0.715,17.80,9.60,1.779,1.173,0.716,N/A,N/A,N/A,N/A,N/A
batch_test_5356,0.04,-2.10,1.326,1.043,0.765,20.84,8.02,1.800,1.278,0.849,14.68,7.21,1.768,1.272,0.832,N/A,N/A,N/A,N/A,N/A
batch_test_5357,-0.05,-2.19,1.310,1.068,0.721,25.16,10.37,2.328,1.501,0.851,18.46,9.74,2.153,1.404,0.847,N/A,N/A,N/A,N/A,N/A
batch_test_5358,0.04,-2.08,1.268,1.038,0.683,20.74,8.91,1.898,1.239,0.767,16.06,8.51,1.910,1.261,0.767,N/A,N/A,N/A,N/A,N/A
batch_test_5359,-0.02,-2.16,1.214,1.031,0.753,24.94,11.03,1.929,1.207,0.812,25.15,11.03,1.939,1.210,0.812,N/A,N/A,N/A,N/A,N/A
