Run_ID,Performance_Score,Gauss_PESQ_NB,Gauss_PESQ_WB,Gauss_STOI,Gauss_SINR,Gauss_SIR
batch_test_8949,0.6836530188408267,2.398,1.558,0.835,9.68,19.19
batch_test_4709,0.6834808225777799,2.144,1.541,0.805,10.03,20.16
batch_test_2706,0.6834660128223177,2.505,1.598,0.847,8.86,18.38
batch_test_274,0.6833837708463544,2.094,1.476,0.817,8.94,15.91
batch_test_353,0.6833809541618857,2.369,1.451,0.789,8.27,17.67
batch_test_536,0.6833594844904374,1.807,1.31,0.66,9.56,18.21
batch_test_6634,0.6833546043754652,2.332,1.578,0.733,10.47,19.51
batch_test_8405,0.6833302891501956,2.007,1.503,0.808,10.19,20.86
batch_test_3930,0.6832284072711092,2.134,1.479,0.83,8.64,18.52
batch_test_8956,0.6832281377590872,1.98,1.373,0.688,9.06,16.41
batch_test_3412,0.6829861614387853,2.13,1.438,0.81,7.94,15.24
batch_test_6122,0.6829193396629862,1.948,1.324,0.748,9.79,18.73
batch_test_5675,0.6828843693709595,1.82,1.381,0.748,10.64,18.66
batch_test_1096,0.6827990181105646,2.298,1.67,0.758,11.19,29.23
batch_test_1716,0.6827329561996952,1.728,1.248,0.817,9.07,15.74
batch_test_4251,0.6826066444597353,2.072,1.521,0.72,12.73,53.25
batch_test_6104,0.6825930425574549,2.064,1.37,0.822,10.6,18.77
batch_test_1346,0.682583087264954,1.693,1.446,0.729,10.88,19.07
batch_test_8870,0.6825108945904736,1.985,1.496,0.865,11.34,32.67
batch_test_5470,0.682434785882803,2.025,1.488,0.566,10.35,20.08
batch_test_221,0.6824319575101347,2.184,1.448,0.834,7.77,14.82
batch_test_1285,0.6822754539579157,1.906,1.299,0.698,9.67,19.34
batch_test_518,0.6822623485208331,2.264,1.566,0.776,10.56,53.74
batch_test_1193,0.6822490991121709,2.16,1.463,0.717,9.85,18.91
batch_test_6638,0.6821278964576782,2.142,1.542,0.818,9.99,23.56
batch_test_1641,0.6821033348441486,2.024,1.412,0.623,10.29,19.9
batch_test_5633,0.6820949043964497,1.949,1.411,0.793,10.92,20.43
batch_test_4122,0.6820860135502118,1.992,1.458,0.787,10.11,17.67
batch_test_1375,0.6818042371588072,1.898,1.369,0.721,8.72,18.15
batch_test_5763,0.6817202351958687,2.68,1.685,0.862,10.68,23.65
batch_test_1402,0.681710685345971,1.848,1.32,0.771,8.9,15.29
batch_test_7873,0.6815639630434125,1.98,1.394,0.733,8.28,17.58
batch_test_5925,0.6815174314744695,2.091,1.343,0.748,8.94,18.05
batch_test_9994,0.6814928457511418,2.088,1.398,0.666,8.45,19.16
batch_test_1676,0.6814263094326743,2.09,1.531,0.553,10.71,20.91
batch_test_8486,0.68129089830747,2.169,1.521,0.801,8.97,20.49
batch_test_8302,0.681250628735381,1.972,1.304,0.74,8.87,16.65
batch_test_7967,0.6812224297163285,2.039,1.432,0.796,8.45,19.85
batch_test_3044,0.6810836041965198,2.434,1.506,0.634,9.09,16.21
batch_test_4371,0.6810317347318682,2.025,1.513,0.774,11.46,25.89
batch_test_8445,0.6809974069533269,2.327,1.653,0.855,10.68,58.7
batch_test_7748,0.6809446937748905,2.328,1.521,0.686,7.82,17.92
batch_test_6276,0.6809440418346777,1.578,1.185,0.764,8.82,17.08
batch_test_2302,0.6808354236293812,1.935,1.452,0.677,10.6,19.02
