Run_ID,Reverb_Base_SIR,Reverb_Base_SINR,Reverb_Base_PESQ_NB,Reverb_Base_PESQ_WB,Reverb_Base_STOI,Reverb_Oracle_SIR,Reverb_Oracle_SINR,Reverb_Oracle_PESQ_NB,Reverb_Oracle_PESQ_WB,Reverb_Oracle_STOI,NoReverb_Base_SIR,NoReverb_Base_SINR,NoReverb_Base_PESQ_NB,NoReverb_Base_PESQ_WB,NoReverb_Base_STOI,NoReverb_Oracle_SIR,NoReverb_Oracle_SINR,NoReverb_Oracle_PESQ_NB,NoReverb_Oracle_PESQ_WB,NoReverb_Oracle_STOI
batch_test_323,0.07,-2.08,1.744,1.106,0.546,27.84,8.68,2.163,1.303,0.793,-0.03,-2.13,1.584,1.071,0.492,28.65,8.69,1.944,1.171,0.682
batch_test_324,0.04,-2.09,1.326,1.078,0.499,28.18,6.66,2.242,1.354,0.810,0.00,-2.14,1.336,1.057,0.571,32.99,6.86,1.947,1.184,0.802
batch_test_325,0.04,-2.09,1.349,1.040,0.486,22.67,5.95,2.296,1.128,0.778,-0.00,-2.12,1.328,1.031,0.548,23.25,6.24,2.099,1.098,0.784
batch_test_326,0.02,-2.11,1.488,1.059,0.560,26.10,7.97,2.404,1.517,0.850,0.00,-2.11,1.462,1.043,0.580,28.34,8.67,2.206,1.354,0.816
batch_test_327,-0.03,-2.16,1.286,1.040,0.580,24.89,7.55,1.939,1.258,0.827,-0.05,-2.18,1.211,1.028,0.681,27.55,7.74,1.734,1.144,0.867
batch_test_328,-0.02,-2.14,1.467,1.058,0.606,26.48,6.93,2.380,1.306,0.879,0.07,-2.10,1.350,1.043,0.607,31.72,6.96,2.001,1.164,0.787
batch_test_329,-0.07,-2.17,1.228,1.042,0.554,24.05,7.71,1.869,1.282,0.848,0.08,-2.04,1.143,1.027,0.692,28.81,8.47,1.524,1.105,0.891
batch_test_330,0.02,-2.10,1.338,1.056,0.625,22.39,6.79,2.004,1.306,0.838,0.05,-2.10,1.231,1.031,0.682,27.92,7.19,1.674,1.136,0.875
batch_test_331,0.01,-2.12,1.378,1.066,0.541,29.30,7.64,2.281,1.304,0.847,-0.01,-2.15,1.294,1.046,0.622,35.06,7.90,2.034,1.169,0.862
batch_test_332,0.01,-2.13,1.272,1.054,0.545,24.03,6.42,2.083,1.306,0.829,0.00,-2.14,1.314,1.036,0.602,29.24,6.59,1.773,1.144,0.843
batch_test_333,0.03,-2.11,1.293,1.034,0.569,28.85,8.05,2.121,1.511,0.822,-0.05,-2.18,1.241,1.030,0.681,34.52,8.09,1.845,1.273,0.864
batch_test_334,0.05,-2.08,1.336,1.047,0.517,25.96,7.71,2.168,1.391,0.848,0.00,-2.13,1.297,1.038,0.640,27.03,8.06,2.054,1.281,0.898
batch_test_335,0.02,-2.12,1.353,1.051,0.565,26.92,7.56,2.052,1.220,0.820,-0.03,-2.14,1.222,1.037,0.674,31.12,7.73,1.649,1.098,0.852
batch_test_336,0.04,-2.06,1.316,1.042,0.567,23.22,6.87,2.021,1.172,0.829,-0.01,-2.16,1.284,1.038,0.635,29.66,7.13,1.764,1.116,0.825
batch_test_337,-0.01,-2.12,1.409,1.043,0.651,30.55,9.16,2.270,1.535,0.861,-0.01,-2.14,1.301,1.022,0.748,32.05,9.65,2.056,1.397,0.896
batch_test_338,0.05,-2.07,1.551,1.115,0.730,24.03,7.77,2.157,1.292,0.903,0.05,-2.07,1.241,1.062,0.818,28.09,8.22,1.807,1.141,0.937
batch_test_339,0.00,-2.14,1.222,1.049,0.535,30.29,9.13,1.850,1.203,0.834,0.08,-2.08,1.239,1.030,0.671,32.95,9.45,1.627,1.129,0.867
batch_test_340,0.04,-2.07,1.439,1.091,0.583,24.06,8.79,2.192,1.516,0.853,0.05,-2.10,1.320,1.051,0.509,31.15,8.88,1.898,1.213,0.721
batch_test_341,-0.00,-2.12,1.378,1.039,0.585,22.28,6.77,2.651,1.466,0.879,-0.03,-2.17,1.307,1.029,0.672,25.75,7.33,2.484,1.337,0.907
batch_test_342,0.06,-2.09,1.175,1.027,0.561,27.96,7.53,1.879,1.223,0.833,-0.02,-2.15,1.167,1.023,0.655,28.90,7.55,1.615,1.101,0.860
batch_test_343,-0.02,-2.14,1.319,1.030,0.573,24.78,8.40,2.094,1.304,0.857,0.03,-2.09,1.208,1.025,0.683,28.80,8.91,1.749,1.160,0.885
batch_test_344,0.01,-2.11,1.268,1.040,0.583,30.81,8.63,2.326,1.454,0.863,-0.00,-2.13,1.200,1.033,0.655,35.01,9.03,2.015,1.279,0.873
batch_test_345,0.01,-2.09,1.196,1.065,0.468,22.29,7.64,1.996,1.304,0.815,0.01,-2.09,1.150,1.040,0.572,26.23,8.13,1.645,1.135,0.847
batch_test_346,-0.02,-2.14,1.254,1.031,0.527,26.10,8.48,2.322,1.552,0.835,-0.02,-2.12,1.173,1.025,0.679,27.33,8.95,1.996,1.338,0.881
batch_test_347,-0.02,-2.14,1.347,1.068,0.568,26.24,6.46,1.996,1.271,0.824,-0.02,-2.14,1.302,1.042,0.655,29.17,6.67,1.764,1.132,0.852
batch_test_348,-0.00,-2.12,1.499,1.070,0.467,28.70,8.37,2.173,1.596,0.827,0.00,-2.14,1.447,1.060,0.596,29.99,8.12,1.971,1.351,0.868
batch_test_349,-0.02,-2.16,1.666,1.099,0.477,26.50,8.00,2.426,1.585,0.828,-0.03,-2.16,1.567,1.075,0.616,28.97,8.08,2.259,1.316,0.871
batch_test_350,0.02,-2.09,1.364,1.023,0.517,27.32,6.77,1.826,1.166,0.740,-0.02,-2.15,1.243,1.016,0.596,31.53,6.42,1.491,1.064,0.740
batch_test_351,-0.05,-2.15,1.350,1.031,0.572,22.31,9.45,3.176,2.624,0.900,0.01,-2.11,1.268,1.024,0.686,24.92,10.45,2.713,2.124,0.926
batch_test_352,0.03,-2.09,1.332,1.043,0.472,30.04,9.67,1.679,1.167,0.777,0.03,-2.09,1.210,1.050,0.583,32.81,10.13,1.492,1.093,0.802
batch_test_353,-0.02,-2.13,1.543,1.050,0.543,25.51,7.25,2.899,1.499,0.869,-0.05,-2.20,1.515,1.041,0.637,30.64,7.33,2.466,1.301,0.883
batch_test_354,-0.02,-2.15,1.235,1.027,0.519,26.61,7.51,2.232,1.159,0.855,0.06,-2.08,1.196,1.022,0.635,33.42,8.60,1.972,1.098,0.887
batch_test_355,-0.03,-2.16,1.452,1.122,0.675,26.30,7.47,2.146,1.405,0.896,0.04,-2.13,1.300,1.081,0.734,30.62,7.69,1.779,1.224,0.901
batch_test_356,0.01,-2.12,1.367,1.061,0.550,29.10,8.81,2.778,1.494,0.872,0.01,-2.14,1.251,1.039,0.656,32.23,9.17,2.383,1.340,0.897
batch_test_357,0.02,-2.15,1.451,1.127,0.545,26.08,6.55,2.511,1.653,0.817,-0.01,-2.16,1.348,1.075,0.673,27.09,6.89,2.205,1.328,0.859
batch_test_358,0.02,-2.11,1.325,1.042,0.586,22.74,7.15,2.010,1.283,0.870,0.03,-2.12,1.224,1.035,0.661,26.48,7.75,1.803,1.163,0.888
